Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,126.940002,127.459999,125.309998,126.190002,114.193924,6577490
2018-04-25,125.910004,126.849998,125.279999,126.760002,114.709732,5859592
2018-04-26,126.620003,129.220001,126.620003,128.009995,115.840874,8211074
2018-04-27,127.730003,128.789993,127.500000,128.270004,116.076195,4266797
2018-04-30,128.860001,128.979996,126.489998,126.489998,114.465378,8219410
2018-05-01,126.320000,126.639999,124.970001,126.010002,114.031036,5122550
2018-05-02,125.519997,126.180000,123.199997,123.500000,111.759628,7390805
2018-05-03,123.300003,123.684998,121.279999,123.029999,111.334312,7282886
2018-05-04,122.599998,124.510002,121.800003,124.190002,112.384026,6127629
2018-05-07,124.139999,125.239998,123.320000,123.589996,111.841064,6707913
2018-05-08,122.860001,123.489998,121.690002,122.610001,110.954231,5951815
2018-05-09,122.989998,124.050003,122.529999,123.510002,111.768669,6808562
2018-05-10,124.220001,126.050003,123.995003,125.349998,113.433754,4948013
2018-05-11,125.769997,127.599998,125.760002,127.239998,115.144104,5716654
2018-05-14,127.349998,127.610001,125.599998,126.059998,114.076271,6101637
2018-05-15,125.540001,125.830002,124.400002,125.129997,113.234673,5875704
2018-05-16,125.440002,125.900002,125.000000,125.349998,113.433754,3818114
2018-05-17,125.489998,125.589996,123.550003,123.849998,112.076363,6473359
2018-05-18,123.779999,124.440002,123.279999,124.239998,112.429283,5433919
2018-05-21,124.620003,124.989998,123.320000,123.720001,111.958702,5558662
2018-05-22,123.800003,124.239998,122.760002,122.910004,111.225716,7172652
2018-05-23,122.870003,123.970001,122.739998,123.449997,111.714378,4940832
2018-05-24,123.220001,123.389999,121.550003,122.250000,110.628456,6892749
2018-05-25,121.559998,122.800003,121.129997,121.470001,110.737846,4594795
2018-05-29,120.500000,120.800003,118.621002,119.400002,108.850746,9821920
2018-05-30,120.120003,121.580002,119.540001,120.970001,110.282036,6390703
2018-05-31,120.919998,121.250000,119.540001,119.620003,109.051308,9955467
2018-06-01,120.379997,121.320000,119.970001,121.260002,110.546417,5741030
2018-06-04,121.849998,122.370003,121.019997,121.949997,111.175446,4853030
2018-06-05,122.050003,122.555000,120.900002,121.480003,110.746979,5125356
2018-06-06,121.970001,122.790001,121.461601,122.790001,111.941223,6799291
2018-06-07,123.000000,123.489998,122.269997,123.330002,112.433517,7414082
2018-06-08,123.360001,124.845001,123.330002,124.059998,113.099007,6208077
2018-06-11,124.269997,124.339996,122.550003,122.660004,111.822716,5571389
2018-06-12,123.160004,123.180000,121.949997,122.540001,111.713326,5227303
2018-06-13,123.150002,124.089996,122.459999,122.629997,111.795364,5836904
2018-06-14,122.709999,123.150002,122.089996,122.410004,111.594795,5239195
2018-06-15,122.099998,122.728500,121.240097,122.610001,111.777115,13173510
2018-06-18,121.610001,121.812500,120.250000,121.320000,110.601097,6787408
2018-06-19,120.660004,123.173500,120.570000,122.570000,111.740669,8572409
2018-06-20,122.419998,122.660004,121.660004,122.040001,111.257500,6277185
2018-06-21,121.830002,122.239998,121.110001,121.449997,110.719627,4417154
